IDX,TRAIN_NO,ID_FROM,ID_TO,TIME_START,TIME_END
0,150,1,2,1178,1427
1,123,2,1,685,928
2,176,1,4,854,910
3,561,4,1,1032,1124
4,3127,1,3,336,512
5,3188,3,1,647,842
6,3207,1,5,827,994
7,3248,5,1,1025,1208
8,2144,1,4,408,492
9,2123,4,1,538,639
10,3238,1,4,1151,1248
11,2253,4,1,1311,1412
12,111,1,6,634,750
13,136,6,1,878,988
14,3178,1,7,793,951
15,3257,7,1,985,1131
16,2274,1,7,1194,1276
17,2003,7,1,402,477
18,152,1,2,1230,1470
19,125,2,1,748,992
20,2194,1,4,711,793
21,2183,4,1,891,982
22,129,1,6,1046,1195
23,129B,6,3,1210,1240
24,3152,3,5,456,474
25,116,5,1,525,626
26,3231,1,3,980,1175
27,3278,3,1,1227,1401
28,2214,1,4,817,901
29,2193,4,1,961,1051
30,3248,1,4,1212,1308
31,103,4,1,555,609
32,3242,1,9,1184,1194
33,3271,9,1,630,1240
34,3131,1,3,360,537
35,176,3,1,740,852
36,125,1,5,994,1099
37,152,5,1,1120,1228
38,3137,1,3,386,573
39,3192,3,1,694,880
40,3198,1,7,915,1053
41,3277,7,1,1066,1210
42,2004,1,10,394,494
43,2004B,10,4,509,525
44,3177,4,1,564,659
45,138,1,2,1015,1262
46,115A,2,11,459,472
47,115,11,1,494,753
48,142,1,4,1052,1115
49,2233,4,1,1192,1284
50,3141,1,3,431,622
51,3212,3,1,809,999
52,123,1,5,930,1039
53,150,5,1,1065,1175
54,3262,1,4,1302,1383
55,3187,4,1,621,705
56,143,1,3,1260,1374
57,182,3,1,314,427
58,3208,1,7,971,1127
59,3287,7,1,1154,1301
60,3118,1,7,445,582
61,3197,7,1,627,768
62,3201,1,3,797,981
63,3268,3,1,1154,1334
64,3138,1,7,547,707
65,3217,7,1,738,881
66,7202,1,4,918,1110
67,7801,4,1,303,464
68,2264,1,4,1125,1207
69,3297,4,1,1277,1365
70,3128,1,7,484,637
71,3207,7,1,679,825
72,3217,1,3,886,1072
73,3272,3,1,1193,1369
74,2184,1,4,651,733
75,2173,4,1,825,908
76,3237,1,3,1018,1206
77,3132,3,1,328,510
78,7201,1,12,1137,1318
79,7202,12,1,660,896
80,3188,1,7,844,999
81,3267,7,1,1035,1183
82,3121,1,3,306,489
83,3198,3,1,718,912
84,3277,1,3,1215,1405
85,3168,3,1,545,726
86,3227,1,3,946,1135
87,3282,3,13,1256,1408
88,3288,13,1,1428,1444
89,7802,1,4,1019,1195
90,3147,4,1,385,468
91,3218,1,4,1038,1126
92,2243,4,1,1250,1344
93,3272,1,4,1371,1453
94,511,4,1,761,839
95,3197,1,3,770,948
96,3242,3,1,980,1182
97,2124,1,4,300,382
98,2103,4,1,431,515
99,3241,1,3,1030,1226
100,3288,3,13,1275,1406
101,3288B,13,1,1408,1444
102,2204,1,4,771,853
103,2193,4,1,961,1051
104,3257,1,13,1133,1153
105,3117,13,3,303,455
106,3172,3,1,576,761
107,3221,1,3,918,1107
108,374,3,14,1132,1166
109,3118,14,1,305,435
110,511,1,15,839,896
111,3218,15,1,964,1036
112,561,1,16,1126,1163
113,3111A,16,15,308,322
114,3111,15,3,322,430
115,3178,3,1,601,790
116,3158,1,7,678,821
117,3237,7,1,867,1016
118,135,1,5,1114,1219
119,156,5,1,1243,1350
120,2154,1,4,465,553
121,2133,4,1,587,677
122,3192,1,17,885,917
123,3231,17,1,939,982
124,3257,1,3,1133,1313
125,3158,3,1,477,672
126,103,1,3,611,735
127,3222,3,1,864,1064
128,2128,1,4,320,401
129,3157,4,1,453,536
130,3228,1,7,1093,1244
131,2257,7,1,1270,1426
132,3161,1,3,567,767
133,142,3,1,927,1050
134,115,1,5,755,862
135,138,5,1,914,1013
136,2138A,1,13,301,321
137,2138,13,4,333,450
138,2113,4,1,475,583
