INDEX,TRAIN_NO,ID_FROM,ID_TO,TIME_START,TIME_END
0,150,1,2,1178,1427
1,123,2,1,685,928
2,176,1,4,854,910
3,561,4,1,1032,1124
4,3127,1,3,336,512
5,3188,3,1,647,842
6,3207,1,5,827,994
7,3248,5,1,1025,1208
8,2144,1,4,408,492
9,2123,4,1,538,639
10,3238,1,4,1151,1248
11,2253,4,1,1311,1412
12,111,1,1,634,988
14,3178,1,7,793,951
15,3257,7,1,985,1131
16,2274,1,7,1194,1276
17,2003,7,1,402,477
18,152,1,2,1230,1470
19,125,2,1,748,992
20,2194,1,4,711,793
21,2183,4,1,891,982
22,129,1,3,1046,1240
24,3152,3,5,456,474
25,116,5,1,525,626
26,3231,1,3,980,1175
27,3278,3,1,1227,1401
28,2214,1,4,817,901
29,2193,4,1,961,1051
30,3248,1,4,1212,1308
31,103,4,1,555,609
32,3242,1,9,1184,1194
33,3271,9,1,630,1240
34,3131,1,3,360,537
35,176,3,1,740,852
36,125,1,5,994,1099
37,152,5,1,1120,1228
38,3137,1,3,386,573
39,3192,3,1,694,880
40,3198,1,7,915,1053
41,3277,7,1,1066,1210
42,2004,1,4,394,525
43,3177,4,1,564,659
44,138,1,2,1015,1262
45,115A,2,1,459,753
46,142,1,4,1052,1115
47,2233,4,1,1192,1284
48,3141,1,3,431,622
49,3212,3,1,809,999
50,123,1,5,930,1039
51,150,5,1,1065,1175
52,3262,1,4,1302,1383
53,3187,4,1,621,705
54,143,1,3,1260,1374
55,182,3,1,314,427
56,3208,1,7,971,1127
57,3287,7,1,1154,1301
58,3118,1,7,445,582
59,3197,7,1,627,768
60,3201,1,3,797,981
61,3268,3,1,1154,1334
62,3138,1,7,547,707
63,3217,7,1,738,881
64,7202,1,4,918,1110
65,7801,4,1,303,464
66,2264,1,4,1125,1207
67,3297,4,1,1277,1365
68,3128,1,7,484,637
69,3207,7,1,679,825
70,3217,1,3,886,1072
71,3272,3,1,1193,1369
72,2184,1,4,651,733
73,2173,4,1,825,908
74,3237,1,3,1018,1206
75,3132,3,1,328,510
76,7201,1,12,1137,1318
77,7202,12,1,660,896
78,3188,1,7,844,999
79,3267,7,1,1035,1183
80,3121,1,3,306,489
81,3198,3,1,718,912
82,3277,1,3,1215,1405
83,3168,3,1,545,726
84,3227,1,3,946,1135
85,3282,3,13,1256,1408
86,3288,13,1,1428,1444
87,7802,1,4,1019,1195
88,3147,4,1,385,468
89,3218,1,4,1038,1126
90,2243,4,1,1250,1344
91,3272,1,4,1371,1453
92,511,4,1,761,839
93,3197,1,3,770,948
94,3242,3,1,980,1182
95,2124,1,4,300,382
96,2103,4,1,431,515
97,3241,1,3,1030,1226
98,3288,3,13,1275,1406
99,3288B,13,1,1408,1444
100,2204,1,4,771,853
101,2193,4,1,961,1051
102,3257,1,13,1133,1153
103,3117,13,3,303,455
104,3172,3,1,576,761
105,3221,1,3,918,1107
106,374,3,14,1132,1166
107,3118,14,1,305,435
108,511,1,1,839,1036
110,561,1,16,1126,1163
111,3111A,16,3,308,430
113,3178,3,1,601,790
114,3158,1,7,678,821
115,3237,7,1,867,1016
116,135,1,5,1114,1219
117,156,5,1,1243,1350
118,2154,1,4,465,553
119,2133,4,1,587,677
120,3192,1,1,885,982
121,3257,1,3,1133,1313
122,3158,3,1,477,672
123,103,1,3,611,735
124,3222,3,1,864,1064
125,2128,1,4,320,401
126,3157,4,1,453,536
127,3228,1,7,1093,1244
128,2257,7,1,1270,1426
129,3161,1,3,567,767
130,142,3,1,927,1050
131,115,1,5,755,862
132,138,5,1,914,1013
133,2138A,1,13,301,321
134,2138,13,4,333,450
135,2113,4,1,475,583
